x	y	sd
1522	1945.3	19.353
1535.9	1962.6	16.091
1541	1931.1	15.672
1514.9	1938.7	18.123
1548.1	1954.8	14.31
1498.8	1875.9	17.818
1519.7	1887.2	13.141
1460.7	1904.6	19.833
1509.1	1914	16.051
1547.5	1914.8	14.199
1529.4	1892.2	15.681
1503.7	1935.4	15.567
1569.2	1894.7	21.361
1542.6	1915.7	17.3
1528.3	1925.8	20.302
1526	1962.5	15.517
645.18	386.9	4.287
1554.3	1883.7	18.381
1021.1	1079.1	20.766
1523.8	1896.7	18.209
1092.8	1044.5	17.675
1072.8	914.6	31.283
1580.3	1946.5	17.813
1555.8	1968	17.808
278.08	1254.1	24.032
1681.2	1868.2	21.626
275.23	1305.7	16.458
1748.4	1875.7	20.995
331.42	1266.5	13.613
1852.7	1785.4	19.175
341.69	1273.7	15.634
1564.9	1917.2	19.989
1521	1372.7	4.707
604.22	1409.8	20.452
382.54	1636.5	7.771
412.14	1633.6	4.848
1088.6	1705.5	12.218
405.15	1623.4	4.947
412.24	1636	5.261
413.57	1627.6	5.739
919.47	1687.1	13.158
1078.6	1709.5	6.534
1090.7	1678.1	14.785
398.55	1631.3	5.673
406.85	1634.2	4.997
1520.8	1906.6	18.036
402.47	1628.2	4.75
1655.6	1969.7	21.477
408.44	1636.3	8.164
1868	1994.6	3.829
1556.6	1906.2	13.27
793.19	1436.3	10.443
1517.2	1946.8	17.716
767.06	1404	5.915
771.55	1433.5	28.508
1549.3	1926.3	20.457
326.74	619.99	11.751
621.82	1400.8	14.693
1534.3	1937.4	13.136
324.71	652.63	17.945
1551	1934	19.593
874.31	1617.7	17.636
907.76	1601.7	13.973
923.2	1647	15.75
939.99	1617.6	17.136
1571.1	1949.7	13.009
84.514	501.76	12.049
1545.2	1959.2	22.2
1587.1	1964.5	18.887
1537.1	1978.5	17.546
1531.6	1935.8	19.113
1526.3	1989.1	16.078
1562.9	1932.1	17.667
1486.9	1938.7	17.096
1504.5	1896	18.75
1505.7	1931.8	18.876
1548.1	1925.6	12.661
1581.3	1975.4	17.792
1537.9	1936.3	13.191
1569.5	1951.7	19.115
1576.6	1937.8	19.181
1516.3	1964.3	17.538
1556.6	1950.8	12.431
1513.9	1894.9	16.484
1554.1	1943.5	15.218
1534.9	1928.7	15.872
1571.8	1935.2	21.71
1539.5	1955.8	15.905
1529.5	1911.5	13.832
1552.4	1931.4	25.051
1551.6	1915	20.603
1502.1	1904.8	18.022
343.72	1281.2	16.499
1569.1	1944	16.812
315.36	1292.6	17.71
1536.5	1932.9	18.551
328.41	1261.9	14.243
1503.1	1931.5	17.746
327.91	1305.2	16.594
1542.2	1938.5	18.165
327.99	1329.1	13.439
1548.6	1952.2	16.076
334.23	1311.1	14.153
1532.3	1907.8	13.253
315.23	1306.4	16.987
1547.3	1957.2	17.674
369.64	1284	14.968
351.86	1211.5	19.788
1509.7	1925.9	16.594
307.47	1192.8	19.019
1526.4	1929.7	14.484
349.27	653.56	6.641
336.43	654.31	6.311
1737.2	566.32	14.283
366.73	640.72	6.405
328.09	677.31	11.765
1395.1	747.88	22.127
1718.6	1627.3	11.09
369.4	1255.5	17.56
1384.8	783.03	15.75
1357.8	750.3	18.883
1410.3	1847.6	25.963
1371.1	847.9	23.372
1497.2	1916.2	12.399
1529.9	1977.2	15.399
1535.6	1905.9	13.874
115.02	703.82	22.397
1546.4	1942	13.218
