x	y	sd
1751.3	428.67	4.022
1735.5	403.21	3.655
1128.2	1861.7	16.261
1708.8	461.12	3.322
1104.4	1893.6	19.286
1671.1	307.47	4.729
948.28	1871.4	16.378
1698.2	299.44	4.879
1074.7	1864.4	18.715
1676.1	304.09	4.697
1089.2	1877.6	16.711
717.89	584.56	12.252
706.9	710.39	8.878
156.36	525.27	22.653
127.84	526.19	24.498
703.13	1666.5	11.616
210.68	59.619	13.95
1543.7	1058.3	24.255
946.68	119.85	19.71
1042.7	541.19	13.648
957.78	1942.5	19.107
1787.4	105.62	6.638
934.78	1945.2	19.14
1781.8	85.865	3.882
1776.1	101.73	4.013
1772.3	97.643	4.239
1782.1	91.893	3.966
1772.5	101.03	3.786
1785.3	93.758	4.507
721.71	1345.5	10.432
1954.9	1348.1	22.975
1479.7	16.695	14.88
1334.6	1773.4	19.28
1354.3	96.395	19.869
1374	1799.8	24.152
1357.5	93.162	26.088
434.28	909.28	3.894
1328	65.547	18.506
435.69	899.31	3.266
434.29	879.39	6.983
1313.9	70.902	30.294
1895.7	810.42	11.156
437.37	1125.7	14.011
1923.6	823.63	11.666
1905	812.9	12.238
1531.8	994.83	11.612
1774.5	902.73	14.944
1758	95.26	6.455
1790.5	724.91	13.452
1775.9	100.64	3.94
1782.1	96.736	4.214
1809.4	735.26	13.949
1777.6	98.406	4.019
1841.9	718.56	13.963
1765.3	96.734	3.884
1852.9	701.02	16.778
1362.1	1282.7	5.663
1767.9	101.67	5.313
1367.3	1268.6	7.269
1950.5	811.06	22.854
1541.1	221.71	7.377
218.4	556.89	19.068
178.86	587.63	15.681
228.74	555.08	19.423
613.78	488.62	7.324
593.7	507.14	3.558
602.58	501.44	4.018
952.49	1471.9	10.095
966.43	1475.8	6.349
978.86	1479.7	6.788
964.59	1481.3	7.976
958.62	1468.1	7.177
980.21	1441.2	13.778
1151	960.86	9.44
1113.2	982.81	7.762
1148.3	956.4	8.314
1139.9	969.85	9.882
1159	959.25	19.17
61.732	315.53	25.306
101.06	268.81	27.721
29.074	1650.3	26.697
117.67	427.92	21.885
100.78	362.15	21.474
