x	y	sd
740.4	556.19	23.667
185.3	1553.7	6.75
775.98	563.55	20.087
183.67	1560.6	7.695
257.99	1522.6	11.681
213	1564.5	13.535
269.16	1546.3	9.966
241.87	1569	13.127
279.27	1544.6	14.427
256.93	1547.2	13.174
249.33	1506.1	11.411
244.95	1505.4	12.77
228.05	1558	12.118
232.73	1554	12.41
229.89	1557.8	11.957
314.67	1544.8	15.543
251.79	1520.8	14.651
251.49	1535.3	13.372
265.48	1544.2	10.85
274.55	1497.6	14.553
244.22	1521.7	12.598
602.53	908.56	10.367
606.45	925.67	8.386
604.09	1047.9	7.507
599.86	1098	4.876
318.69	1423.8	15.54
587.63	921.08	11.132
274.13	1458.1	17.45
608.07	890.88	8.96
195.76	1942	10.074
589.63	891.33	9.176
581.91	908.75	10.107
462.05	1081.1	18.064
192.06	1994	8.032
169.8	1999.9	8.056
227.22	1535.2	17.087
224.09	1577.2	18.332
227.85	1554.9	19.569
268.96	1533.3	17.968
253.77	1482.7	18.425
555.56	463.37	10.927
250.86	1578.1	14.555
1086.2	1708.7	23.194
268.95	1532.8	15.921
173.1	1473.1	19.786
231.57	1570.9	18.927
211.92	1587.1	21.577
1374.4	1500.8	14.499
1993.4	1259.4	10.493
255.85	1525.9	16.705
1340.8	1457.9	4.804
358.72	1590.5	21.689
1338.4	1475.4	10.297
255.86	1571.7	15.899
281.63	1580.6	18.434
243.43	1596.1	17.058
215.32	1504.9	15.557
215.1	1499.6	19.286
212.38	1526.3	14.55
245.39	1527.9	14.152
131.72	1485.1	22.621
257.96	1531.4	17.583
237.28	1527.7	18.551
223.54	1505.9	15.931
130.13	1547.6	16.085
202.79	1528.8	16.851
532.8	467.16	9.26
259.42	1537.9	15.822
505.04	439.88	22.27
1991.2	1317.3	21.925
272.73	1538.7	14.079
209.63	1494.8	17.098
1999.6	1247.6	16.867
317.2	1501.3	15.703
337.04	1344.3	13.496
383.2	1266.9	13.912
271.55	1475.7	18.285
272.83	1547.5	15.878
465.93	1599	10.965
527.58	1649.1	8.86
546.55	1644.6	8.418
540.08	1668.8	8.873
285.21	1872.7	9.041
293.61	1882.5	10.004
1359.2	1478.6	8.365
172.96	1487.3	11.189
59.006	1421.1	16.659
254.1	1549.8	15.331
433.81	1453.7	10.143
470.38	1443.4	10.907
206.41	1512.1	17.658
373.68	1581.9	16.584
312.84	1452.4	12.257
912.5	546.95	19.256
635.6	1553.5	18.449
885.98	594.42	22.534
1721.9	503.56	5.355
608.57	1513.2	6.617
1706.8	503.28	5.276
609.93	1469.4	5.965
1712.6	509.36	5.292
629.74	1467.4	5.45
1719.7	505.92	4.889
647.85	1463.3	6.651
1699.5	494.72	8.509
629.21	1502.4	5.252
617.96	1513.5	5.416
599.42	1515.4	5.669
549.8	1625.1	13.593
447.29	1659.3	26.592
225.18	1545.5	16.146
321.76	1589.8	15.735
239.23	1563	16.664
232.91	1500	15.48
254.95	1537.4	13.115
245.1	1566.5	13.434
226.05	1531.7	13.229
214.18	1514.3	14.655
217.61	1486.1	16.671
252.98	1498.6	13.869
224.54	1495.5	10.799
244.25	1441.5	18.337
175.28	1274.7	19.747
221.83	1504.8	13.84
279.24	1502.3	13.996
219.45	1501.2	15.179
559.07	906.18	11.138
1818.2	445.15	17.061
1814.2	464.67	24.165
634.57	1168.5	25.186
236	1517.4	14.534
249.25	1483.4	14.647
220.14	1525.9	13.758
204.39	1508.1	14.295
197.87	1508.6	16.517
214.77	1509.2	14.741
178.33	1487.4	15.263
185.66	1535.1	20.751
224.68	1510.5	10.416
273.67	1527.7	16.645
225.49	1520.6	20.905
1565.4	1155.5	24.815
229.98	1534.6	16.37
213.78	1527.2	14.757
1625.6	1141.8	17.876
196.26	1514.9	14.618
1637.6	1131.6	25.394
215.76	1527.7	13.498
1530.7	1226	22.635
204.44	1508	16.035
215.47	1544.2	11.52
227.95	1526.7	13.9
208.71	1505.8	12.934
1146.5	795.75	21.762
223	1520.8	13.897
54.414	1.797	16.666
214.08	1508.5	13.115
230.22	1509.9	16.169
226.59	1531.1	16.947
206.18	1510.2	16.168
202.68	1516.4	13.926
1096	1521.4	21.892
208.63	1531.3	12.866
228.72	1508.4	15.226
232.41	1509.7	13.505
200.56	1525.1	13.159
226.6	1491.6	12.164
189.7	1495	13.67
223	1523.8	14.716
138.51	1574.2	8.208
193.68	1578.1	9.902
173.76	1560.5	7.152
1988.3	1360.1	8.386
94.703	1554.1	11.817
97.451	1557.3	11.234
106.25	1538	10.16
1994.9	1367	8.991
157.62	1530.8	7.265
157.76	1521	8.254
201.1	1536.8	12.801
209.22	1523.5	12.45
482.32	420.07	14.442
220.02	1514.1	13.122
234.02	1577.7	13.369
270.19	623.38	12.097
1110.5	1429.8	25.046
936.12	1007.8	5.059
314.35	25.098	15.032
930.87	996.45	4.474
929.68	985.74	4.264
298.25	40.324	18.382
942.53	1020.4	4.509
312.4	36.699	15.259
930.22	1007.4	4.097
1875.4	1105.9	21.109
281.39	79.162	15.133
898.1	999.4	4.972
1713	522.24	9.83
1972.4	1311.7	11.883
878.45	989.66	5.827
1713.2	513.07	5.184
446.63	908.96	5.661
1720.3	503.71	5.498
436.89	898.08	5.848
1695.9	499.35	6.278
431.83	906.78	6.003
443.64	877.59	12.481
1998.8	1262.6	9.91
1988.2	1267.5	8.967
1096	1395.3	23.045
1997.1	1280.8	9.507
375.05	1307.1	10.916
388.07	1303.7	11.008
431.22	193.27	20.065
473.86	333.16	8.029
470.48	385.16	7.556
464.84	382.91	7.348
932.51	1886.6	8.419
1989.4	1270.6	9.467
459.25	383.24	6.897
468.53	383.7	7.182
468.1	394.84	7.933
478	402.35	7.212
785.52	1545.8	20.461
446.08	397.25	8.295
713.63	1625.9	11.327
461.52	384.93	7.333
738.87	1625.3	11.261
473.15	369.07	8.061
454.06	372.13	7.193
464	351.16	7.549
469.52	385.29	8.598
569.07	1460.5	7.952
622.31	1549.7	7.376
621.74	1515.8	6.792
630.89	1502.4	7.665
605.69	1526.3	7.469
639.23	1527.7	7.126
470.59	383.59	9.824
676.05	1464.2	7.96
836.23	1151	10.642
939.73	1011.3	4.728
940.28	1019.2	4.456
483.48	383.72	9.946
626.01	1499.6	7.63
491.9	337.72	11.154
637.85	1541.4	9.817
42.292	1420.7	12.04
473.95	409.56	12.773
27.791	1499.1	6.845
467.95	369.22	10.624
1706.5	508.58	5.273
1998.5	1267.9	13.628
44.545	1671.6	3.988
479.23	392.67	9.332
1725.9	502.3	5.225
32.953	1511.8	7.202
476.57	376.57	11.802
1714.7	505.09	5.027
23.128	1392.9	18.276
441.52	333.93	11.714
1714	511.33	5.435
460.22	353.9	9.971
1850.6	1348.7	8.292
460.57	366	9.218
481.87	380	9.674
461.28	380.48	9.01
1986.1	1316.3	14.137
1998.7	1284.1	10.307
74.662	1481.6	16.167
